ID,Synopsis,Title,MPAARating,Year,ViewerRating

there may still be a glimmer of hope for these characters yet. ""The

Shape of Things,"" warts and all, is a motion picture not easy to shake.

","Shape Of Things, The",R,2003,3

816,"

People take away from meaty movies what means something

special to them.  ""Shattered Glass"" reminds me of a thought I

had some time ago when I was teaching full time and took on a

night-school job as well.  Like others in my profession, I would

be making more money with two jobs than I would with just one,

obviously.  But like others with the extra job, I was tired all the

time. As a result, my performance suffered in the daytime and

suffered at night as well.  I got to thinking: how ironic that the

more money that people make by taking on extra jobs, the less

effective they are!  

    As for how this connects to ""Shattered Glass,"" Billy Ray's

gripping account of a journalist for a respected publication who,

like Jayson Blair of the New York Times, faked several of his

stories--27 out of 41, in fact (or should we say in

fiction)...Stephen Glass, who is indeed shattered by what he had

done, was just twenty-four years of age in 1998 when the

exposure was made.  Like people who work more than one job,

he not only worked his full-time grind at The New Republic,

which for my money is the country's most respectable magazine

about politics: He took on freelance gigs with such high-paying

mags as Rolling Stone and George.  But that's not all.  He had

the distorted ambition to go to Georgetown Law School at night,

which only a kid in his twenties could do at all given the heavy

study required and of course the presence in class.  How can he

possibly go out on assignments in and around Washington, D.C.

such as a hotel convention of young computer hackers, take the

notes and interview the people, then submit an in-depth article

to his editor at The New Republic?  He can't and did not.  He

faked most of the stories and, since he was well-liked at the

magazine--he could entertain the staff at meetings as though

telling stories of the 1001 Nights and had a youthful

charisma--he was given considerable support by his colleagues

such as young reporters Caitlin Avey (Chloe Sevigny) and Amy

Brand (Melanie Lynskey).  He was mentored by the late, great

Michael Kelly (Hank Azaria), who was later fired by publisher

Marty Peretz (Ted Kotcheff) for personality clashes and for

siding with the workers repeatedly against the administration of

the periodical. 

   With a dynamic, credible script from writer-director Billy Ray,

whose film work so far is remarkably thin for a guy who could

punch out and lead actors in such a dramatic work, ""Shattered

Glass"" carries with it as much tension as a good mystery, even

though we know in advance that the faker will get caught.  We

wish beyond hope that the guy will get away with what he's

doing because we in the audience are carried away as much as

everyone who worked with him at the magazine.   

    ""Shattered Glass"" is a must-see for everyone.  This should be

required viewing in schools of journalism from Columbia to

Stanford because it's not only a wake-up call against unethical

writing but because we learn so much about the profession

within the story's 94 minutes.  We find out--without thinking in

any way that we're sitting in a classroom--that at a highly

regarded journal like The New Republic, a story does not simply

get written by a reporter and slipped into the magazine as

though it were a hot item that might be picked up by a tabloid's

extra edition.  In fact one wonders how a story can go through

so many employees that it remains timely.  It goes to the

fact-checkers, then to editors who add a comma here and

delete an apostrophe there.  It goes to lawyers who make sure

nothing in the article could evoke a lawsuit.  Then it goes back

to a few editors and a few fact-checkers and to the reporter. 

Oh, and to the lawyers again. 

    In the story Stephen Glass (Hayden Christensen), on top of

the world at 24, is sought out for stories about hackers and for

commentary about political conventions. He's big enough to tell

his assistants to send phone calls from George and Rolling

Stone to his voice mail.  When he discusses his work, say, the

hackers' convention, he gets up on the chair and gyrates to

emulate the behavior of the acne-covered kid who has been

made a hero by Geeks Anonymous.  Glass is an entertainer; he

appears invulnerable.  To Hayden Christensen's credit, he

conveys both the glow about his head at the beginning of the

year 1998, and the tearful, suicidal lad he becomes by the end

of the year when reporter Adam Penenberg (Steve Zahn) of a

now-defunct online journal, Forbes Digital, checks into the story

and discovers that the hotel in which the hackers' convention

met on Sunday...was closed on Sunday; and that the restaurant

to which the journalists repaired for dinner on Sunday...was

closed at 3 p.m. as well.   

    We're not entirely sure about the motivation of this young

man.  Did he get a high every time he put one over on his editor,

Chuck Lane (Peter Sarsgaard) and on the reading public?  Was

this a crime of opportunity by a fellow who, after getting away

with some small stuff, tested the waters to see just how far he

could go?  Or is the answer in some more banal fact, such as

the fact that he was overwhelmed with work from law school

and freelance articles? 

    Incredibly good performances abound, especially from Hank

Azaria as Michael Kelly, a journalist who, after being fired form

The New Republic went on to edit Atlantic Monthly and was

tragically killed in Iraq this year; from Peter Sarsgaard as Chuck

Lane, who had a difficult time taking Michael Kelly's place as

editor given his lack of personality and the belief that he had no

loyalty to the current staff; and of course to Hayden Christensen,

in virtually every scene, who like a tragic Sophoclean hero or

like Ozymandias has his 15 minutes of fame only to fall into

tearful disfavor. 

",Shattered Glass,PG-13,2003,3

817,"

 One of the great things about movie reviewing is the

diversity of opinion. One man's masterpiece is another man's

junk, both of them are entitled to express their views and

this is how the things are supposed to be. However, the

author of this review, although he tries to live by those

principles, recollects some situations when he was tempted

to sacrifice his personal dissent for the sake of

conformity. One of such situations happened with the film

which is now considered to be one of the greatest films ever

made and which happens to hold top spots in Internet Movie

Database polls for years. Sheer numbers - high marks, plenty

of people giving those high marks and the amount of time

when the film holds the top spot - often give impression of

the overwhelming force that single, dissenting reviewer

shouldn't oppose. Thankfully, when I first encountered THE

SHAWSHANK REDEMPTION, 1994 prison drama by Frank Darabont, I

wasn't aware of that. Initial high rating in Internet Movie

Database didn't impress me; I thought that the enthusiasm

for the film is equal to those that elevated titles like THE

ROCK into Top 10 of IMDb and that it would vanish through

time. I was wrong, THE SHAWSHANK REDEMPTION is now one of

the most popular films of the past decade, but that

nevertheless didn't prevent me from keeping maintain my

original appraisal of the film. 

 Frank Darabon't screenplay for THE SHAWSHANK REDEMPTION is

based on the Stephen King's story RITA HAYWORTH AND THE

SHAWSHANK REDEMPTION, Plot begins in 1946 when young

Portland banker Andy Dufresne (played by Tim Robbins) gets

sentenced to life imprisonment for the murder of his wife

and her lover. Dufresne maintains his innocence but for the

next few decades he would have to deal with more practical

issues in Shawshank prison, all observed through the eyes of

Ellis Boyd ""Red"" Redding (played by Morgan Freeman), another

""lifer"" who runs prison's black market and who would

gradually become Dufresne's best friend. For the first years

of his imprisonment, quiet ex-banker is ridiculed by general

prison population and often assaulted by the gang of prison

rapists led by Bogs (played by Mark Ralston). His fortune

changes when he offers his accounting services to sadistic

prison guard Captain Byron Handley (played by Clancy Brown).

Soon his boss, Bible- thumping yet utterly corrupt warden

Samuel Norton (played by Bob Gunton) hires Dufresne as his

personal accountant, and in exchange for his help with

embezzlement, kickbacks, tax evasion and other illegal

activities, he gets library job and other privileges. But

Dufresne also uses his new position in order to improve the

prison library and help making life easier for other

prisoners. However, although the life behind bars gets

better through the years, Dufresne doesn't stop dreaming

about freedom. 

 At first glance, THE SHAWSHANK REDEMPTION looks like a very

good film and could be hardly associated with first-time

director. The dark, depressive atmosphere of the prison

affects the viewers through the efforts of cinematographer

Roger Deakins, soundtrack composer Thomas Newman and good

use of old, defunct real life prison locations. The acting

is also great. Tim Robbins is good as quiet, enigmatic

character whose agenda remains the mystery until the very

end, while Freeman gives truly superb performance as cynical

prisoner who is going to experience change of heart. Two of

them have great chemistry together, but the supporting cast

is also very good and it ranges from veterans like James

Whitmore in very touching role of an old ""institutionalised""

prisoner to Bob Gunton who often played villains, but hardly

so convincingly as in this film. But the best thing about

THE SHAWSHANK REDEMPTION is Darabont's decision to employ

old-fashioned film techniques and not allow time constraints

to stand in the way of the storytelling. His indirect

approach, based on narration and quick flashbacks, works

fine in this film, allowing the audience to envision decades

spent behind bars more easily. 

 Taking all this into account, the author of this often

wondered whether his disappointment with THE SHAWSHANK

REDEMPTION had something to do with the subject matter and

the prison experience from his own past. However, after a

while, I came to the conclusion that there isn't direct

connection between the two. Fortunately, my time behind bars

was negligibly short compared with the protagonists of this

film and circumstances were completely different. So, the

reasons why I don't share other people's enthusiasm for this

film come from my perception of flaws in the film itself.

First, although the characters in this film are memorable,

they nevertheless belong to prison movie cliches - sadistic

guards, gang rapists, corrupt warden, protagonist's mentor

who ""runs"" the prison. Cliches later come in some scenes

that are supposed to be ""meaningful"" (like Dufresne playing

Mozart via loudspeakers) but in the end look trite and

overmanipulative. All that culminates in the last segments

of the film when Darabont tries too hard to wrap things up

with a neat little happy ending, which comes at the expense

of realism and looks too much like a deus ex machina. So,

what was supposed to be gritty but uplifting prison drama

ends like a standard Hollywood fairytale. However, THE

SHAWSHANK REDEMPTION is terribly overrated, but its pluses

nevertheless outweigh minuses so the potential audience

shouldn't be discouraged from watching it and making their

own mind about its quality. 

","Shawshank Redemption, The",R,1994,3

818,"

      11-year-old Marty Preston has a predicament.  Since his family has

had to mortgage the house to pay the doctor bills of his recently

deceased grandmother, his dad does not look kindly on the idea of

adding a canine member to the family.  (""No dog, no way."")  Even if

Marty could come up with the money to buy one, his dad complains that

there are still the food, the shots, and the doctor visits that the dog

would require. 

      To further complicate matters, Marty has set his heart on the

unobtainable.  He knows a local redneck hunter, Judd Travers, who

abuses his friendly beagle for not responding quick enough.  This

nameless dog -- Judd only gives his dogs numbers -- has been christened

Shiloh by Marty, and the animal has won Marty's heart.  Judd believes

the dog will be a great hunting dog so he refuses to part with him for

any amount. 

      First-time writer and director Dale Rosenbloom's film SHILOH

garnered rave reviews when it was released earlier this year.  As a

film critic, I understand the marketing of non-family films -- I can't

say adult films since the pornography industry has absconded with that

moniker -- but the marketing and distribution of family films continues

to baffle me.  After these sterling reviews, Warner Brothers chose to

give the movie only a limited release.  After missing such major

markets as California's Silicon Valley, they gave up on the film and

sent it to video.  With mediocre products such as THAT DARN CAT, A

SIMPLE WISH and GONE FISHIN' getting a wide distribution, why couldn't

they have promoted an intelligent family film?  Doesn't quality count

for something? 

      SHILOH is a richly textured film populated with completely

believable family and friends.  It even has a villain worth hating and

yet sympathetic too.  And then there is the dog.  Shiloh has a

metronome for a tail, a sweet, slobbery tongue, big soulful eyes,

playfully floppy ears and an intense loyalty. 

      Judd, played with crusty demeanor by Scott Wilson, was whipped by

his father from age four.  Judd makes his living by hunting, mainly

illegally, and views his dogs as little more that the tools of his

trade.  Since he is single, he abuses them as his father abused him.

In the backwoods town of West Virginia where the story takes place,

this rings true. 

      After a wounded Shiloh shows up again at his house, Marty, played

with touching sincerity by Blake Heron, devises a scheme whereby he

will hide Shiloh and find enough odd jobs to secure the money for his

purchase.  The fatal flaw, of course, is that Judd has no intention of

ever parting with the dog, regardless of the price. 

      In less capable hands than Rosenbloom's the film could easily have

dissolved into maudlin cliches.  The smartly written script makes for a

warm hearted and realistic tale.  Typical of the film's strengths are

the depths of the supporting cast.  Michael Moriarty plays Marty's

father as a stubborn and controlling parent, but one with a sweetness

just below the surface.  His mother, played by Ann Dowd, works hard to

earn extra money.  The battles between the parents, both on and off

screen, avoids the overacting usually found in disagreements among

parents in films. 

      Easily the biggest surprise in the picture is Rod Steiger's

heartwarming role as Doc Wallace, the local doctor and general store

owner.  Doc is the grandfather and guardian of Marty's girlfriend Sam,

played by J. Madison Wright.  Sam has a big crush on Marty but manages

to hide it most of the time as they pal around.  When she steals the

inevitable kiss, he acts like he hates it. 

      The script is full of homilies inserted so naturally that you

don't realize they are present.  ""Don't ever run away from a problem,""

advises the father.  ""Sometimes the biggest test of love is how much

you're willing to fight for it,"" says the Doc. 

      Cinematographer Frank Byers shot the film in warm nostalgic shades

of browns and golds.  Amy B. Ancona's sets are evocative without ever

being overloaded with gaudy country nicknacks.  And Joel Goldsmith's

music has a wonderful dreaminess to it. 

      The film has a long and completely plausible resolution of the

conflict, but it seems at first to lack the tension needed to make it

compelling.  A twist towards the end changes everything.  The result is

a completely satisfying picture with a touching little story, nicely

resolved. 

      SHILOH runs just 1:33.  It is rated PG for mild violence.  The

show would be excellent for kids six and up.  Younger ones might have

trouble with the couple of scenes of a dog being kicked.  My son

Jeffrey, age 8, liked the film ""very much,"" but added that it would not

make his best of the year list.  I recommend this fine film to your

family and give it ***. 

",Shiloh,PG,1997,3

819,"

SHINER, a very violent comedy as the British like to make them, was released

theatrically in the rest of the world last year but is coming out this month on

DVD and videotape to American video stores.  Michael Caine, who manages to turn

in interesting performances even in mediocre movies such as SHINER, plays Billy

'Shiner' Simpson, a take-no-prisoners boxing promoter.  Close to his financial

Armageddon, Billy has bet everything he has that his fighter and son, Eddie

(Matthew Marsden), will defeat an American challenger, Mikey (Derrick Harmon),

sponsored by Frank Spedding (Martin Landau). 

 The surprise of the plot is that the big match occurs in the middle of the

picture rather than at the end.  For all its violence, the movie is remarkably

dull with only Caine making much of an impression.  My favorite scene has Billy

bragging to the police, ""I've been on the cover of magazines.""  To prove it, he

holds up a magazine with his mug on the front.  The periodical's name?  In big

bold letters on its cover it says succinctly, ""Magazine.""    

 The only aspect of the film worth commenting on, other than Caine's acting, is

Paul Grabowsky's compelling and evocative music.  Neither, however, is enough to

recommend the picture. 

 SHINER runs a long 1:40.  It is rated R for ""strong violence, pervasive language

and some nudity"" and would be acceptable for most teenagers. 

 My son Jeffrey, age 13, gave the movie just one half of a star, complaining that

the movie didn't give him any feeling about any of the characters. 

 The movie is available now on DVD and videotape. 

",Shiner,R,2000,1.5

820,"

 For the average person, director Stanley Kubrick is probably best known 

for his upcoming film entitled ""Eyes Wide Shut,"" featuring Tom Cruise 

and Nicole Kidman, which had taken over two years for him to complete. 

For an avid filmgoer, Kubrick is perhaps more known for his classic 

motion pictures, such as 1964's ""Dr. Strangelove"" and 1971's ""A 

Clockwork Orange."" His step into the horror genre, however, came in 1980 

with his loose, but exquisitely told, terrifying adaptation of Stephen 

King's novel, ""The Shining."" At the time of its release, King 

enthusiasts were disappointed because the film version had many 

differences from the book, but I doubt anyone can deny its overall power 

to scare. 

 With a running time of 144 minutes, it is obvious that this is no 

ordinary horror picture, but one that aspires to be an epic, and it 

definately is for the genre. Jack Nicholson stars in a tour de force 

performance as Jack, a writer who, at the start, is a family man who 

takes a job as caretaker at the Colorado Overlook Hotel for the winter. 

He is warned early on by the hotel's manager that the winters in the 

mountains are treacherous, and often the heavy snowfall closes up the 

roads for months. Soon Jack, his wife, Wendy (Shelley Duvall), and their 

little son, Danny (Danny Lloyd) are left alone at the huge, desolate 

hotel, and as the weeks go by, the snow grows heavier, and Jack gets a 

bad case of writer's block, he slowly, but surely begins to go crazy. 

Meanwhile, it begins to get obvious that the hotel itself is indeed 

haunted, and as young Danny rides his bike through the endless 

corridors, he starts to get visions of terrible things to come, such as 

an elevator opening up to a tidal wave of blood. He also starts to see 

two mysterious twins who seem to be roaming the hotel, side-by-side. If 

you haven't seen ""The Shining,"" then I wouldn't dare give away how 

everything develops, but it is safe to say that by the last 45 minutes, 

all hell breaks loose.  

 ""The Shining"" is a deliberately paced, but endlessly creepy, horrifying 

motion picture. From the first shot of the camera moving overhead as a 

car drives down a road, to the shots within the hedge maze outside the 

hotel, the film has some of the most beautiful, atmospheric 

cinematography, by John Alcott, I have ever seen. Other technical 

credits are also superb, including the extremely eerie, memorable 

instrumental music score by Herbert Von Karajan, and the unforgettable 

production design by Roy Walker. 

 It is the overall experience of ""The Shining,"" however, that makes it 

such a great film. The slow pace at the start is actually an asset, 

because it gradually grows momentum as Nicholson starts to grow more and 

more crazy, until the movie totally takes off in it's last hour and 

turns into a funhouse of horrors. One particular scene is especially 

disturbing. Without giving it away, it involves Duvall and a person in a 

dog costume. 

 Nicholson's performance in this movie is probably my favorite that he 

has given, because he has the ability to have a very menacing present. I 

think it has something to do with his voice and his eyebrows. Duvall is 

very good as his sympathetic wife, and is a very good screamer when she 

has to be. Aside from Nicholson, however, the standout of the cast is 

surely Scatman Crothers, as the cook of the hotel who tells Danny at the 

beginning that he has the ""shine,"" which is the ability to see the 

future. In my opinion, he was sorely overlooked for an Oscar nomination 

in 1980. 

 ""The Shining"" is also very much thought-provoking, particularly the 

closing scene, and is one of the greatest horror films ever made. It is 

also a movie not easy to forget, and proves that when done well enough, 

and with a great deal of care, a horror movie can rise to a plane all 

its own. 

","Shining, The",R,1980,4

821,"

Lasse Hallstr_m's THE SHIPPING NEWS, a schmaltzy snoozer, is Miramax's canonical

weeper for the Christmas season.  I'm not a fan of Lasse Hallstr_m's THE CIDER

HOUSE RULES, but it is superior to THE SHIPPING NEWS, which, even if it is based

on a popular novel, isn't much of a movie.  Filled with eccentric characters of

the type that you never find in real life, the rambling movie doesn't go much of

anywhere and then stops randomly and abruptly.  There are the odd satisfying

incidents, but, overall, it just marks time. 

 Quoyle (Kevin Spacey), the story's central character, is a blue collar worker

who is devoid of confidence.  A fling with a stranger named Petal Bear (Cate

Blanchett) produces a child.  A pudgy-faced Spacey has never been made to look

worse, and Blanchett, in her hooker-reject clothes, is the complete opposite of

a soccer mom.   

 One day, Aunt Agnis (Judi Dench) arrives on Quoyle's door.  Not long afterwards,

Agnis, Quoyle and his daughter leave to go to live in the family home in far

away Newfoundland, which Agnis pronounces as Newfound Land.  The house is in

ruins and holds more than one deep, dark family secret under its rotting roof. 

They arrive in a huge, blowing June snowstorm, which nonpluses Quoyle and the

audience.  Agnis tries to explain how unexplainable the Newfoundland weather can

be.  (The most inexplicable part of the weather is the way that they go to bed

when there is deep snow outside and wake up to find that it has almost entirely

vanished by early next morning.) 

 Jack Buggit (Scott Glenn), the owner of the small local newspaper, gives Quoyle

a job as a reporter, a position for which he feels totally incapable.  Jack

tries to make it simple by describing one of the paper's guiding principles. 

""We run a front page picture of a car wreck every week, whether we have one or

not,"" Jack tells Quoyle.  All Quoyle has to do is go to all of the car wrecks,

of which there are plenty -- people drop like flies in this town -- and record

what he sees. 

 Although there are a few choice moments, with one of the best being an incident

to rival SHREK's outhouse scene, most of the manipulative film is completely

forgettable.  Perhaps those who loved the novel, which I've never read, will be

equally pleased with its motion picture adaptation.  Personally, I didn't care

about any of the characters, and I had trouble staying awake since so little of

interest happened.   Skip this syrupy movie.  If you have a sugar urge, bake up

a fresh batch of Christmas cookies instead.   

 THE SHIPPING NEWS runs 2:00.  It is rated R for ""some language, sexuality and

disturbing images"" and would be acceptable for teenagers.      

","Shipping News, The",R,2002,2

822,"

 In my country, TV shows dedicated to seventh art tend to be

named after great or popular films. Our national television

so far had two such shows - one named after A FISTFULL OF

DOLLARS and another named after VERTIGO. Local television in

my home town adopted the same practices - for the past five

or so years, the movie show is named after SHORT CUTS, 1993

drama by Robert Altman. That film perhaps owes such honour

mostly to its ""cool"" title, but it is nevertheless

considered to be the one of the most important and most

successful films of early 1990s. 

 The film is based on the short stories by late American

writer Raymond Carver. Script by Altman and Frank Barhydt

changed the scenery from Pacific Northwest and brought it to

Los Angeles where the plot takes place few days before the

earthquake. The film actually lacks the plot in the usual

sense of the word - instead there are nine vignettes in

which we are introduced to few dozen characters. All of

those characters are faced with variety of problems which

are difficult but mundane - couple must deal with a death of

a child, husband has difficulties accepting his wife as

phone sex operator, participants in the fishing expedition

must decide whether to spoil their fun by reporting dead

body to police etc. Those vignettes are connected through

characters from one briefly appearing in another and they

would all end with the earthquake at the end of the film. 

 One of the most popular descriptions of SHORT CUTS is ""the

shortest 3-hour movie in history"". This catchphrase, very

popular among 1990s critics, seemed impossible for many of

those who followed Altman's career a decade earlier. Once

one of the most celebrated directors, Altman was practically

exiled from Hollywood in the era of Lucas and Spielberg,

since everyone began thinking about his films as ""too

artsy"", ""hermetic"" and incomprehensible to the average

viewer. Altman made a comeback with a style in 1992 and got

even with Hollywood establishment by mercilessly satire in

PLAYER. One year later, Altman finally got his satisfaction

by having one of such ""artsy"" and ""hermetic"" films being

lauded as one of the most important American films in 1990s. 

 SHORT CUTS in many ways resembles NASHVILLE, another

Altman's film populated with myriad of characters and their

stories accidentally intertwined on the same place. However,

this time Altman doesn't want to use satire in order to

expose specific cultural phenomenon (he would do it one year

later in PRET-A-PORTER); his goals are more ambitious and he

wants to expose modern life in all of its horror. He uses

camera as god-like instrument that allows the audience to

have insight into the most private and intimate details of

protagonist's lives, while in the same time he allows

audience powerless to change horrific fates that await some

unfortunate individuals in the film. SHORT CUTS is powerful,

gripping film in which the black humour often intertwines

with tragedy - one of the example is the scene in which a

boy gets hit by a car only to refuse the offer of

guilt-stricken driver to be taken to hospital, justifying

his decision with the most sensible advice given by his

parents. Actually, all the misery in this film comes from

understandable, down-to-earth human frailties as well as

equally down-to- earth and understandable twists of fate. 

 However, although Altman's masterful hands manage to keep

our attention from the beginning till the end, SHORT CUTS

doesn't deserve all of the praise received by the critics.

Since the material is so diverse, it is natural to expect

that some characters and vignettes would work and some would

not. Among the latter is the love story between alcoholic

Earl (played by Tom Waits) and his long-suffering wife

Doreen (played by Lily Tomlin). Quality of acting also

varies from vignette to vignette and from character to

character. It is interesting to find that the most powerful

performances come from a relatively obscure actor like Lyle

Lovett, while more established actress like Julianne Moore

gets remembered mostly for her willingness to appear

partially nude in front of camera. Another distraction in

SHORT CUTS comes from rather irritating musical soundtrack

by Mark Isham and Gavin Friday, dominated by jazz tunes.

However, although SHORT CUTS had its formula later used by

other, perhaps even more successful and talented filmmakers,

it still provides an interesting viewing experience and

clear demonstration of the talent of a very important

American filmmaker. 

",Short Cuts,R,1993,3

823,"

Since buddy movies, cop movies and cop-buddy movies have

been done to death, Tom Dey, who directs ""Showtime,"" bills this

one as a parody of the genres, but whether you call a lemon an

orange or not, it's still a lemon.  ""Showtime"" is  tepid stuff,

making you wonder why De Niro would want to play the part. He

looks uncomfortable throughout perhaps because the pallid

script  calls for him to perform as a detective with little

personality, virtually no acting ability, a man who just want to be

left alone to do the job he's been plugging away at for twenty

years.

 

In fact he looks most troubled performing opposite Eddie

Murphy in the role of a police rookie who wants to be an actor,

De Niro's level of discomfort being perhaps what the part calls

for ((he's not supposed to like the person he's partnered with),

or perhaps because he must step aside to allow Murphy to

overshadow him as a flamboyant personality who collects all the

fan mail to De Niro's sparse pickings.

 

The odd couple, Detective Mitch Preston (Robert De Niro) and

Rookie Trey Sellars (Eddie Murphy) get paired up in a deal

between a TV network and the L.A. police department. When

Preston, known as a loose gun, or cowboy on the force, shoots

a video camera dead during his investigation of a crime, the

station threatens to sue for $10 million but will drop the suit if

Preston and Sellars would agree to the demands of producer

Chase Renzi (Rene Russo) and director William Shatner

(playing himself) to partner up and allow the TV crew to film

them in action.  The laughs, such as they are, come from

Sellars' preening before the camera while for his part Preston

just wants the movie equipment out of his face.  Some titters are

evoked from Preston's being kidded about his hobby, which is

making pottery.  The comedy turns into some serious

explosions as the duo go after a criminal named Vargas who

totes a gun that's more advanced than anything the U.S. Army

has.

 

After De Niro's hilarious performance in ""Meet the Parents,""

""Showtime"" is a comedown and for Murphy, still is a master of

comic timing at age forty-one, a wittier script is sorely needed.

",Showtime,PG-13,2002,1.5

824,"

If you're a fan of hyphenate (in this case,

actor-writer-director-co-producer) Edward Burns (""The Brothers

McMullen""), then you may view ""Sidewalks of New York"" as his tribute to

the kind of neurotic multirelationship romantic comedies Woody Allen

used to make. And if you see Burns as an overrated, whiny frat boy with

delusions of grandeur, then you likely will dismiss ""Sidewalks of New

York"" as little more than an occasionally amusing, often maddening

rip-off of the old Allen films.

 

For years, NBC has insisted on taking the highly coveted 8:30-9 P.M.

time slot on Thursday evenings and stuffing it with anemic sitcoms like

""Suddenly Susan,"" ""Jesse"" and ""Inside Schwartz."" Imagine one of those

shows, only three times as long, and you'll know what to expect here.

 

As a framing device, Burns inserts a documentary film crew that pops up

every so often to individually interview all of the principal

characters. These people aren't shy. The first interview is preceded

with the warning, ""Some of these questions are personal and some relate

to sex. So how old were you when you lost your virginity?""

 

Who are these guys? Burns apparently wants us to accept them as real,

since he frequently shows us the view through their shaky camera lens

and periodically has young men pop up in the background to harass the

crew. So how is it that they happen to interview every key cast member?

Are the documentary makers psychic? And why, later in the story, do the

interviews move from the streets to the inside of the characters' homes?

Clearly, these men are stalkers. Psychic, documentary-making stalkers.

Aliens too, I bet.

 

They probably make crop circles on the weekends.

 

As for the story, the interpersonal dynamics work like this:

All-American boy Tommy (Burns) gets dumped by his girlfriend Sue (Callie

Thorne). He goes to his lounge lizard mentor Carpo (Dennis Farina) for

advice and is told to wear cologne on his balls because ""chicks dig it.""

Tommy tests the theory when he picks up Maria (Rosario Dawson) at a

video store. Maria has troubles as well - her ex-husband Benny (David

Krumholtz, veteran of at least one NBC Thursday night sitcom) follows

her around trying to play songs on his guitar.

 

Benny also has a crush on 19-year-old Iowa transplant Ashley (Brittany

Murphy), who is dating a smarmy married dentist named Griffin (Stanley

Tucci). Griffin's jittery wife Annie (Heather Graham) is a realtor who

shows an apartment to Tommy, which sends another plotline looping into a

comedic black hole. From all that excess emerges a few good lines, lots

of moaning and performances that range from serviceable to beyond

embarrassing. Dennis Farina, what were you thinking? Whatever possessed

a character actor of your skill to play a grating buffoon? Did the

psychic, crop circle making alien stalkers do something to your brain?

 

That could explain everything. Maybe they got into the brains of the

whole cast and made them fall for this drivel. Or, maybe Edward Burns IS

a genius and they got into my brain and convinced me that he is a

pretentious hack.

 

Damn those aliens!

",Sidewalks of New York,R,2001,2

825,"

 For some decades now, it has been customary for college

students to travel, in the summer to Europe, during Spring break

to Cancun.  When going to Europe on an extended, two-

months' vacation, two hetero males would often agree in

advance that if either one hooked up with a female of his

dreams, he would split and perhaps travel with her before

rejoining his male friend.  It's not unusual then, for a couple of

guys who have compatible tastes to separate, particularly under

these circumstances.  Imagine what it would like for two middle-

aged men on a road trip, both, set in their ways, with baggage

that would mark them as a dysfunctional couple!  This is the

foundation of Alexander Payne's comic genius, in his new film

""Sideways,"" using a script he co-wrote with his regular partner

Jim Taylor, about a week-long odyssey taken by Jack (Thomas

Haden Church), who is to be married at the end of the week and

looking for a final fling, and his former college roommate and

best friend, Miles (Paul Giamatti).  This is a relationship made in

hell_that's how different these two guys are_and yet their

friendship transcends what ordinary people would consider

unworkable. 

 ""Sideways,"" which refers both to the way that wine bottles are

stored and to the fact that the two characters on Payne road trip

are not growing but, rather, moving laterally, is a movie for

people who love words as well as for those with a taste for

comedy, both witty and vulgar.   Some of the misadventures of

these pals are hilarious, others on the brink of sentimentality.

Their talk is pretentious only when Miles discusses wine_and

here Payne satirizes the jargon of the connoisseurs_but on the

whole completely understandable to all who love movies made

like the great character studies of the 1970s. 

 Miles is the self-deprecating, gloomy Gus in this duo while Jack

is high-spirited.  Miles, like Andre Gregory's character in Louis

Malle's 1981 pic ""My Dinner with Andre,"" may not be as cultured

as Andre but as Andre can appreciate great food, Miles is an

epicure of the wine bottle.  Jack, on the other hand, is

something like Wallace Shawn. Shawn and Giamatti are similar

only in physical features, Wallace Shawn (like Jack, more or

less) states that he is content with a cup of coffee, maybe a

burger, and simply never thought much about his partner's more

refined style of dining. 

 As they traverse the vineyards of Southern California, staying in

motels on the way, even visiting Miles's mother for an overnight

reunion, we observe Miles rattling on about the quality of the

Pinot Noir grape which_like Miles himself_is ""thin-skinned and

temperamental and needs constant care and attention.""  Jack

would just as soon slug the wine down, bottoms-up, as though

he were quaffing beer or downing a glass of cheap Scotch.

While a good deal of the comedy arises from this mismatch of

personalities, the movie ascends to genuine hilarity when they

run into two women, Maya (Virginia Madsen), a waitress whom

